url,tournament_id,slug,name,category,end_year
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/count,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/count/titles,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/count/wins,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/count/played,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/count/entries,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/ages,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/ages/main,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/ages/titles,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/ages/oldestrounds,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/ages/youngestrounds,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/percentage,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/percentage/wins,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/percentage/rounds,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/streak,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/timespan,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/rounds,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/least,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-3/records/roundsonentries,7304,buenos-aires-3,"Buenos Aires",250,1995
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/count,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/count/titles,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/count/wins,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/count/played,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/count/entries,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/ages,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/ages/main,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/ages/titles,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/ages/oldestrounds,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/ages/youngestrounds,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/percentage,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/percentage/wins,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/percentage/rounds,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/streak,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/timespan,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/rounds,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/least,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buenos-aires-ntl/records/roundsonentries,9304,buenos-aires-ntl,"Buenos Aires NTL",A,1968
https://stats.tennismylife.org/tournaments/buffalo/records,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/count,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/count/titles,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/count/wins,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/count/played,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/count/entries,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/ages,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/ages/main,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/ages/titles,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/ages/oldestrounds,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/ages/youngestrounds,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/percentage,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/percentage/wins,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/percentage/rounds,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/streak,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/timespan,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/rounds,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/least,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo/records/roundsonentries,9831,buffalo,"Buffalo",A,1969
https://stats.tennismylife.org/tournaments/buffalo-wct/records,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/count,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/count/titles,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/count/wins,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/count/played,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/count/entries,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/ages,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/ages/main,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/ages/titles,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/ages/oldestrounds,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/ages/youngestrounds,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/percentage,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/percentage/wins,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/percentage/rounds,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/streak,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/timespan,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/rounds,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/least,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buffalo-wct/records/roundsonentries,9315,buffalo-wct,"Buffalo WCT",A,1968
https://stats.tennismylife.org/tournaments/buzios/records,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/count,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/count/titles,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/count/wins,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/count/played,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/count/entries,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/ages,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/ages/main,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/ages/titles,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/ages/oldestrounds,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/ages/youngestrounds,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/percentage,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/percentage/wins,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/percentage/rounds,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/streak,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/timespan,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/rounds,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/least,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/buzios/records/roundsonentries,215,buzios,"Buzios",A|250,1992
https://stats.tennismylife.org/tournaments/cairo/records,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/count,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/count/titles,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/count/wins,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/count/played,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/count/entries,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/ages,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/ages/main,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/ages/titles,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/ages/oldestrounds,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/ages/youngestrounds,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/percentage,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/percentage/wins,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/percentage/rounds,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/streak,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/timespan,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/rounds,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/least,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/cairo/records/roundsonentries,206,cairo,"Cairo",A,1982
https://stats.tennismylife.org/tournaments/calcutta/records,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/count,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/count/titles,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/count/wins,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/count/played,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/count/entries,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/ages,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/ages/main,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/ages/titles,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/ages/oldestrounds,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/ages/youngestrounds,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/percentage,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/percentage/wins,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/percentage/rounds,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/streak,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/timespan,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/rounds,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/least,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calcutta/records/roundsonentries,680,calcutta,"Calcutta",A,1978
https://stats.tennismylife.org/tournaments/calgary/records,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/count,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/count/titles,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/count/wins,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/count/played,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/count/entries,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/ages,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/ages/main,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/ages/titles,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/ages/oldestrounds,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/ages/youngestrounds,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/percentage,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/percentage/wins,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/percentage/rounds,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/streak,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/timespan,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/rounds,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/least,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/calgary/records/roundsonentries,2038,calgary,"Calgary",A,1974
https://stats.tennismylife.org/tournaments/cannes-wct/records,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/count,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/count/titles,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/count/wins,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/count/played,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/count/entries,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/ages,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/ages/main,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/ages/titles,9319,cannes-wct,"Cannes WCT",A,1968
https://stats.tennismylife.org/tournaments/cannes-wct/records/ages/oldestrounds,9319,cannes-wct,"Cannes WCT",A,1968
