date,rankingDateId,rank,points,days_diff
2025-05-05,2678,6,4130,7
2025-05-12,2679,6,4130,7
2025-05-19,2680,6,4080,7
2025-05-26,2681,6,4230,7
2025-06-02,2682,6,4230,7
2025-06-09,2683,5,4630,7
2025-06-16,2684,5,4630,7
2025-06-23,2685,6,4630,7
2025-06-30,2686,6,4630,7
2025-07-07,2687,6,4630,7
2025-07-14,2688,6,4130,7
2025-07-21,2689,6,4130,7
2025-07-28,2690,6,4130,7
2025-08-04,2691,7,4130,7
2025-08-18,2692,7,4130,14
2025-08-25,2693,7,4130,7
2025-09-08,2694,4,4830,14
2025-09-15,2695,4,4830,7
2025-09-22,2696,4,4830,7
2025-10-13,2697,5,4580,21
2025-10-20,2698,5,4580,7
2025-10-27,2699,5,4580,7
2025-11-03,2700,5,4580,7
2025-11-10,2701,4,4830,7
2025-11-17,2702,4,4830,7
2025-11-24,2703,4,4830,7
2025-12-01,2704,4,4830,7
2025-12-08,2705,4,4830,7
2025-12-15,2706,4,4830,7
2025-12-22,2707,4,4830,7
2025-12-29,2708,4,4820,7
2026-01-05,2709,4,4780,7
2026-01-12,2710,4,4780,7
2026-01-19,2711,4,4780,7
2026-02-02,2712,3,5280,14
2026-02-09,2713,3,5280,7
2026-02-16,2714,3,5280,7
