url,tipo,filtri,index,in_sitemap
/records/same/wins?level=250,1-filtro,1,true,false
/records/same/wins?level=500,1-filtro,1,true,false
/records/same/played?level=G,1-filtro,1,true,false
/records/same/played?level=M,1-filtro,1,true,false
/records/same/played?level=F,1-filtro,1,true,false
/records/same/played?level=250,1-filtro,1,true,false
/records/same/played?level=500,1-filtro,1,true,false
/records/same/entries?level=G,1-filtro,1,true,false
/records/same/entries?level=M,1-filtro,1,true,false
/records/same/entries?level=F,1-filtro,1,true,false
/records/same/entries?level=250,1-filtro,1,true,false
/records/same/entries?level=500,1-filtro,1,true,false
/records/same/titles?level=G,1-filtro,1,true,false
/records/same/titles?level=M,1-filtro,1,true,false
/records/same/titles?level=F,1-filtro,1,true,false
/records/same/titles?level=250,1-filtro,1,true,false
/records/same/titles?level=500,1-filtro,1,true,false
/records/same/round?level=G,1-filtro,1,true,false
/records/same/round?level=M,1-filtro,1,true,false
/records/same/round?level=F,1-filtro,1,true,false
/records/same/round?level=250,1-filtro,1,true,false
/records/same/round?level=500,1-filtro,1,true,false
/records/seasons/wins?level=G,whitelist-1f,1,true,true
/records/seasons/wins?level=M,1-filtro,1,true,false
/records/seasons/wins?level=F,1-filtro,1,true,false
/records/seasons/wins?level=250,1-filtro,1,true,false
/records/seasons/wins?level=500,1-filtro,1,true,false
/records/seasons/played?level=G,1-filtro,1,true,false
/records/seasons/played?level=M,1-filtro,1,true,false
/records/seasons/played?level=F,1-filtro,1,true,false
/records/seasons/played?level=250,1-filtro,1,true,false
/records/seasons/played?level=500,1-filtro,1,true,false
/records/seasons/played?level=D,1-filtro,1,true,false
/records/seasons/entries?level=G,1-filtro,1,true,false
/records/seasons/entries?level=M,1-filtro,1,true,false
/records/seasons/entries?level=F,1-filtro,1,true,false
/records/seasons/entries?level=250,1-filtro,1,true,false
/records/seasons/entries?level=500,1-filtro,1,true,false
/records/seasons/titles?level=G,whitelist-1f,1,true,true
/records/seasons/titles?level=M,1-filtro,1,true,false
/records/seasons/titles?level=F,1-filtro,1,true,false
/records/seasons/titles?level=250,1-filtro,1,true,false
/records/seasons/titles?level=500,1-filtro,1,true,false
/records/seasons/percentage?level=G,1-filtro,1,true,false
/records/seasons/percentage?level=M,1-filtro,1,true,false
/records/seasons/percentage?level=F,1-filtro,1,true,false
/records/seasons/percentage?level=250,1-filtro,1,true,false
/records/seasons/percentage?level=500,1-filtro,1,true,false
/records/seasons/percentage?level=D,1-filtro,1,true,false
/records/atage/wins?level=G,1-filtro,1,true,false
/records/atage/wins?level=M,1-filtro,1,true,false
/records/atage/wins?level=F,1-filtro,1,true,false
/records/atage/wins?level=250,1-filtro,1,true,false
/records/atage/wins?level=500,1-filtro,1,true,false
/records/atage/wins?level=D,1-filtro,1,true,false
/records/atage/played?level=G,1-filtro,1,true,false
/records/atage/played?level=M,1-filtro,1,true,false
/records/atage/played?level=F,1-filtro,1,true,false
/records/atage/played?level=250,1-filtro,1,true,false
/records/atage/played?level=500,1-filtro,1,true,false
/records/atage/played?level=D,1-filtro,1,true,false
/records/atage/entries?level=G,1-filtro,1,true,false
/records/atage/entries?level=M,1-filtro,1,true,false
/records/atage/entries?level=F,1-filtro,1,true,false
/records/atage/entries?level=250,1-filtro,1,true,false
/records/atage/entries?level=500,1-filtro,1,true,false
/records/atage/titles?level=G,1-filtro,1,true,false
/records/atage/titles?level=M,1-filtro,1,true,false
/records/atage/titles?level=F,1-filtro,1,true,false
/records/atage/titles?level=250,1-filtro,1,true,false
/records/atage/titles?level=500,1-filtro,1,true,false
/records/ageofnth/wins?level=G,1-filtro,1,true,false
/records/ageofnth/wins?level=M,1-filtro,1,true,false
/records/ageofnth/wins?level=F,1-filtro,1,true,false
/records/ageofnth/wins?level=250,1-filtro,1,true,false
/records/ageofnth/wins?level=500,1-filtro,1,true,false
/records/ageofnth/wins?level=D,1-filtro,1,true,false
/records/ageofnth/played?level=G,1-filtro,1,true,false
/records/ageofnth/played?level=M,1-filtro,1,true,false
/records/ageofnth/played?level=F,1-filtro,1,true,false
/records/ageofnth/played?level=250,1-filtro,1,true,false
/records/ageofnth/played?level=500,1-filtro,1,true,false
/records/ageofnth/played?level=D,1-filtro,1,true,false
/records/ageofnth/entries?level=G,1-filtro,1,true,false
/records/ageofnth/entries?level=M,1-filtro,1,true,false
/records/ageofnth/entries?level=F,1-filtro,1,true,false
/records/ageofnth/entries?level=250,1-filtro,1,true,false
/records/ageofnth/entries?level=500,1-filtro,1,true,false
/records/ageofnth/titles?level=G,1-filtro,1,true,false
/records/ageofnth/titles?level=M,1-filtro,1,true,false
/records/ageofnth/titles?level=F,1-filtro,1,true,false
/records/ageofnth/titles?level=250,1-filtro,1,true,false
/records/ageofnth/titles?level=500,1-filtro,1,true,false
/records/neededto/titles?level=G,1-filtro,1,true,false
/records/neededto/titles?level=M,1-filtro,1,true,false
/records/neededto/titles?level=F,1-filtro,1,true,false
/records/neededto/titles?level=250,1-filtro,1,true,false
/records/neededto/titles?level=500,1-filtro,1,true,false
/records/counterseasons/wins?level=G,1-filtro,1,true,false
/records/counterseasons/wins?level=M,1-filtro,1,true,false
/records/counterseasons/wins?level=F,1-filtro,1,true,false
/records/counterseasons/wins?level=250,1-filtro,1,true,false
/records/counterseasons/wins?level=500,1-filtro,1,true,false
/records/counterseasons/wins?level=D,1-filtro,1,true,false
/records/counterseasons/titles?level=G,1-filtro,1,true,false
/records/counterseasons/titles?level=M,1-filtro,1,true,false
/records/counterseasons/titles?level=250,1-filtro,1,true,false
/records/counterseasons/titles?level=500,1-filtro,1,true,false
/records/h2h/count?level=G,1-filtro,1,true,false
/records/h2h/count?level=M,1-filtro,1,true,false
/records/h2h/count?level=F,1-filtro,1,true,false
/records/h2h/count?level=250,1-filtro,1,true,false
/records/h2h/count?level=500,1-filtro,1,true,false
/records/h2h/count?level=D,1-filtro,1,true,false
/records/streak/wins?level=G,whitelist-1f,1,true,true
/records/streak/wins?level=M,whitelist-1f,1,true,true
/records/streak/wins?level=F,1-filtro,1,true,false
/records/streak/wins?level=250,1-filtro,1,true,false
/records/streak/wins?level=500,1-filtro,1,true,false
/records/streak/wins?level=D,1-filtro,1,true,false
/records/wins?surface=Hard,whitelist-1f,1,true,true
/records/wins?surface=Clay,whitelist-1f,1,true,true
/records/wins?surface=Grass,whitelist-1f,1,true,true
/records/wins?surface=Carpet,1-filtro,1,true,false
/records/played?surface=Hard,1-filtro,1,true,false
/records/played?surface=Clay,1-filtro,1,true,false
/records/played?surface=Grass,1-filtro,1,true,false
/records/played?surface=Carpet,1-filtro,1,true,false
/records/titles?surface=Hard,whitelist-1f,1,true,true
/records/titles?surface=Clay,whitelist-1f,1,true,true
/records/titles?surface=Grass,whitelist-1f,1,true,true
/records/titles?surface=Carpet,1-filtro,1,true,false
/records/entries?surface=Hard,1-filtro,1,true,false
/records/entries?surface=Clay,1-filtro,1,true,false
/records/entries?surface=Grass,1-filtro,1,true,false
/records/entries?surface=Carpet,1-filtro,1,true,false
/records/percentage?surface=Hard,whitelist-1f,1,true,true
/records/percentage?surface=Clay,whitelist-1f,1,true,true
/records/percentage?surface=Grass,whitelist-1f,1,true,true
/records/percentage?surface=Carpet,1-filtro,1,true,false
/records/ages/oldest?surface=Hard,1-filtro,1,true,false
/records/ages/oldest?surface=Clay,1-filtro,1,true,false
/records/ages/oldest?surface=Grass,1-filtro,1,true,false
/records/ages/oldest?surface=Carpet,1-filtro,1,true,false
/records/ages/youngest?surface=Hard,1-filtro,1,true,false
/records/ages/youngest?surface=Clay,1-filtro,1,true,false
/records/ages/youngest?surface=Grass,1-filtro,1,true,false
/records/ages/youngest?surface=Carpet,1-filtro,1,true,false
/records/ages/oldest-winners?surface=Hard,1-filtro,1,true,false
/records/ages/oldest-winners?surface=Clay,1-filtro,1,true,false
/records/ages/oldest-winners?surface=Grass,1-filtro,1,true,false
/records/ages/oldest-winners?surface=Carpet,1-filtro,1,true,false
/records/ages/youngest-winners?surface=Hard,1-filtro,1,true,false
/records/ages/youngest-winners?surface=Clay,whitelist-1f,1,true,true
/records/ages/youngest-winners?surface=Grass,whitelist-1f,1,true,true
/records/ages/youngest-winners?surface=Carpet,1-filtro,1,true,false
/records/timespan/entries?surface=Hard,1-filtro,1,true,false
/records/timespan/entries?surface=Clay,1-filtro,1,true,false
/records/timespan/entries?surface=Grass,1-filtro,1,true,false
/records/timespan/entries?surface=Carpet,1-filtro,1,true,false
/records/timespan/titles?surface=Hard,1-filtro,1,true,false
/records/timespan/titles?surface=Clay,1-filtro,1,true,false
/records/timespan/titles?surface=Grass,1-filtro,1,true,false
/records/timespan/titles?surface=Carpet,1-filtro,1,true,false
/records/roundsonentries/titles?surface=Hard,1-filtro,1,true,false
/records/roundsonentries/titles?surface=Clay,1-filtro,1,true,false
/records/roundsonentries/titles?surface=Grass,1-filtro,1,true,false
/records/roundsonentries/titles?surface=Carpet,1-filtro,1,true,false
/records/same/wins?surface=Hard,1-filtro,1,true,false
/records/same/wins?surface=Clay,1-filtro,1,true,false
/records/same/wins?surface=Grass,1-filtro,1,true,false
/records/same/wins?surface=Carpet,1-filtro,1,true,false
/records/same/played?surface=Hard,1-filtro,1,true,false
/records/same/played?surface=Clay,1-filtro,1,true,false
/records/same/played?surface=Grass,1-filtro,1,true,false
/records/same/played?surface=Carpet,1-filtro,1,true,false
/records/same/entries?surface=Hard,1-filtro,1,true,false
/records/same/entries?surface=Clay,1-filtro,1,true,false
/records/same/entries?surface=Grass,1-filtro,1,true,false
/records/same/entries?surface=Carpet,1-filtro,1,true,false
/records/same/titles?surface=Hard,1-filtro,1,true,false
/records/same/titles?surface=Clay,1-filtro,1,true,false
/records/same/titles?surface=Grass,1-filtro,1,true,false
/records/same/titles?surface=Carpet,1-filtro,1,true,false
/records/seasons?surface=Hard,1-filtro,1,true,false
/records/seasons?surface=Clay,1-filtro,1,true,false
/records/seasons?surface=Grass,1-filtro,1,true,false
/records/seasons?surface=Carpet,1-filtro,1,true,false
/records/seasons/wins?surface=Hard,1-filtro,1,true,false
/records/seasons/wins?surface=Clay,1-filtro,1,true,false
/records/seasons/wins?surface=Grass,1-filtro,1,true,false
/records/seasons/wins?surface=Carpet,1-filtro,1,true,false
/records/seasons/played?surface=Hard,1-filtro,1,true,false
/records/seasons/played?surface=Clay,1-filtro,1,true,false
/records/seasons/played?surface=Grass,1-filtro,1,true,false
/records/seasons/played?surface=Carpet,1-filtro,1,true,false
/records/seasons/entries?surface=Hard,1-filtro,1,true,false
/records/seasons/entries?surface=Clay,1-filtro,1,true,false
/records/seasons/entries?surface=Grass,1-filtro,1,true,false
/records/seasons/entries?surface=Carpet,1-filtro,1,true,false
/records/seasons/titles?surface=Hard,1-filtro,1,true,false
/records/seasons/titles?surface=Clay,1-filtro,1,true,false
/records/seasons/titles?surface=Grass,1-filtro,1,true,false
/records/seasons/titles?surface=Carpet,1-filtro,1,true,false
/records/seasons/percentage?surface=Hard,1-filtro,1,true,false
/records/seasons/percentage?surface=Clay,1-filtro,1,true,false
